,Capital or Revenue,Directorate,Transaction Number,Date,Service Area,Expenses Type,Amount,Supplier Name
2315,Revenue,Economy & Environment,5105636950,15.11.2013,The Heights,Payment to Private Contractors,82.35,FUGRO EMU LTD
2316,Revenue,Economy & Environment,5105638381,27.11.2013,Deputy Chief Fire Office,Catering Purchases,100.00,FULL SPREAD LIMITED
2317,Revenue,Economy & Environment,5105638244,27.11.2013,Diversity & Workforce,Catering Purchases,224.00,FULL SPREAD LIMITED
2318,Revenue,Economy & Environment,5105638380,27.11.2013,Diversity & Workforce,Catering Purchases,10.50,FULL SPREAD LIMITED
2319,Revenue,Economy & Environment,5105638247,27.11.2013,Diversity & Workforce,Catering Purchases,42.00,FULL SPREAD LIMITED
2320,Revenue,Economy & Environment,5105638382,27.11.2013,Diversity & Workforce,Catering Purchases,42.00,FULL SPREAD LIMITED
2321,Revenue,Economy & Environment,5105638245,27.11.2013,Diversity & Workforce,Catering Purchases,224.00,FULL SPREAD LIMITED
2322,Revenue,Economy & Environment,5105638246,27.11.2013,Diversity & Workforce,Catering Purchases,14.00,FULL SPREAD LIMITED
2323,Revenue,Resources,5105638064,22.11.2013,Staff Benefits,Payment to Private Contractors,190.00,FUN AT BRIGHSTONE
2324,Revenue,Resources,5105638065,22.11.2013,Staff Benefits,Payment to Private Contractors,0.00,FUN AT BRIGHSTONE
2325,Revenue,Resources,5105638102,22.11.2013,Staff Benefits,Payment to Private Contractors,105.40,FUN TO LEARN PRE-SCHOOL
2326,Revenue,Resources,5105638099,22.11.2013,Staff Benefits,Payment to Private Contractors,144.00,FUN TO LEARN PRE-SCHOOL
2327,Revenue,Resources,5105638101,22.11.2013,Staff Benefits,Payment to Private Contractors,230.40,FUN TO LEARN PRE-SCHOOL
2328,Revenue,Resources,5105638105,22.11.2013,Staff Benefits,Payment to Private Contractors,71.40,FUN TO LEARN PRE-SCHOOL
2329,Revenue,Resources,5105638103,22.11.2013,Staff Benefits,Payment to Private Contractors,243.00,FUN TO LEARN PRE-SCHOOL
2330,Revenue,Resources,5105638097,22.11.2013,Staff Benefits,Payment to Private Contractors,20.00,FUN TO LEARN PRE-SCHOOL
2331,Revenue,Resources,5105638100,22.11.2013,Staff Benefits,Payment to Private Contractors,140.00,FUN TO LEARN PRE-SCHOOL
2332,Revenue,Resources,5105638104,22.11.2013,Staff Benefits,Payment to Private Contractors,243.00,FUN TO LEARN PRE-SCHOOL
2333,Revenue,Resources,5105638096,22.11.2013,Staff Benefits,Payment to Private Contractors,20.00,FUN TO LEARN PRE-SCHOOL
2334,Revenue,Resources,5105638098,22.11.2013,Staff Benefits,Payment to Private Contractors,100.00,FUN TO LEARN PRE-SCHOOL
2335,Revenue,Resources,5105638106,22.11.2013,Staff Benefits,Payment to Private Contractors,86.96,FUN TO LEARN PRE-SCHOOL
2336,Revenue,Childrens Services,5105634234,06.11.2013,Support for Looked After Children,Support Children,501.20,FURZEHILL CHILDCARE CENTRE LTD
2337,Revenue,Childrens Services,5105634104,06.11.2013,Support for Looked After Children,Support Children,-501.20,FURZEHILL CHILDCARE CENTRE LTD
2338,Revenue,Resources,5105638071,22.11.2013,Staff Benefits,Payment to Private Contractors,243.00,FURZEHILL CHILDCARE CENTRE LTD
2339,Revenue,Resources,5105638072,22.11.2013,Staff Benefits,Payment to Private Contractors,236.00,FURZEHILL CHILDCARE CENTRE LTD
2340,Revenue,Resources,5105638073,22.11.2013,Staff Benefits,Payment to Private Contractors,100.00,FURZEHILL CHILDCARE CENTRE LTD
2341,Revenue,Resources,5105635093,22.11.2013,Staff Benefits,Payment to Private Contractors,100.00,FURZEHILL CHILDCARE CENTRE LTD
2342,Revenue,Resources,5105638070,22.11.2013,Staff Benefits,Payment to Private Contractors,243.00,FURZEHILL CHILDCARE CENTRE LTD
2343,Revenue,Childrens Services,5105638831,29.11.2013,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
2344,Revenue,Childrens Services,5105638831,29.11.2013,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
2345,Revenue,Childrens Services,5105638831,29.11.2013,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
2346,Revenue,Childrens Services,5105637853,22.11.2013,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
2347,Revenue,Childrens Services,5105636830,15.11.2013,Children placed with Family & Friends,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
2348,Revenue,Childrens Services,5105638805,29.11.2013,Children placed with Family & Friends,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
2349,Revenue,Childrens Services,5105637825,22.11.2013,Children placed with Family & Friends,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
2350,Revenue,Childrens Services,5105635395,08.11.2013,Children placed with Family & Friends,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
2351,Revenue,Economy & Environment,5105634154,06.11.2013,Play Areas Health & Safety work,Payment to Private Contractors,210.80,G B SPORT AND LEISURE +
2352,Revenue,Childrens Services,5105638669,29.11.2013,Adoption Costs,Support Children,64.84,REDACTED PERSONAL DATA
2353,Revenue,Childrens Services,5105638669,29.11.2013,Adoption Costs,Support Children,64.84,REDACTED PERSONAL DATA
2354,Revenue,Childrens Services,5105635256,08.11.2013,Adoption Costs,Support Children,64.84,REDACTED PERSONAL DATA
2355,Revenue,Childrens Services,5105635256,08.11.2013,Adoption Costs,Support Children,64.84,REDACTED PERSONAL DATA
2356,Revenue,Childrens Services,5105637687,22.11.2013,Adoption Costs,Support Children,64.84,REDACTED PERSONAL DATA
2357,Revenue,Childrens Services,5105636691,15.11.2013,Adoption Costs,Support Children,64.84,REDACTED PERSONAL DATA
2358,Revenue,Childrens Services,5105636691,15.11.2013,Adoption Costs,Support Children,64.84,REDACTED PERSONAL DATA
2359,Revenue,Childrens Services,5105637687,22.11.2013,Adoption Costs,Support Children,64.84,REDACTED PERSONAL DATA
2360,Revenue,Childrens Services,5105635182,06.11.2013,Clatterford Pupil Referral Unit (PRU),Minor Works,150.00,G E BANKS WINDOWS LTD
2361,Revenue,Childrens Services,5105635293,08.11.2013,In-house Fostering,Boarding Out Allowances,15.00,REDACTED PERSONAL DATA
2362,Revenue,Childrens Services,5105637726,22.11.2013,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
2363,Revenue,Childrens Services,5105637726,22.11.2013,In-house Fostering,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
2364,Revenue,Childrens Services,5105637726,22.11.2013,In-house Fostering,Boarding Out Allowances,15.00,REDACTED PERSONAL DATA
2365,Revenue,Childrens Services,5105637726,22.11.2013,In-house Fostering,Boarding Out Allowances,20.00,REDACTED PERSONAL DATA
2366,Revenue,Childrens Services,5105638707,29.11.2013,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
2367,Revenue,Childrens Services,5105638707,29.11.2013,In-house Fostering,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
2368,Revenue,Childrens Services,5105638707,29.11.2013,In-house Fostering,Boarding Out Allowances,15.00,REDACTED PERSONAL DATA
2369,Revenue,Childrens Services,5105638707,29.11.2013,In-house Fostering,Boarding Out Allowances,20.00,REDACTED PERSONAL DATA
2370,Revenue,Childrens Services,5105636730,15.11.2013,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
2371,Revenue,Childrens Services,5105636730,15.11.2013,In-house Fostering,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
2372,Revenue,Childrens Services,5105636730,15.11.2013,In-house Fostering,Boarding Out Allowances,15.00,REDACTED PERSONAL DATA
2373,Revenue,Childrens Services,5105636730,15.11.2013,In-house Fostering,Boarding Out Allowances,20.00,REDACTED PERSONAL DATA
2374,Revenue,Childrens Services,5105635293,08.11.2013,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
2375,Revenue,Childrens Services,5105635293,08.11.2013,In-house Fostering,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
2376,Revenue,Childrens Services,5105635293,08.11.2013,In-house Fostering,Boarding Out Allowances,20.00,REDACTED PERSONAL DATA
2377,Revenue,Community Wellbeing & Social Care,5105637630,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,866.67,REDACTED PERSONAL DATA
2378,Revenue,Community Wellbeing & Social Care,5105636005,08.11.2013,NHS Health Check Programme,Payment to Private Contractors,472.00,GARFIELD ROAD SURGERY
2379,Revenue,Community Wellbeing & Social Care,5105636005,08.11.2013,Contraception,Payment to Private Contractors,280.00,GARFIELD ROAD SURGERY
2380,Revenue,Childrens Services,5105637200,20.11.2013,Area Director (Children & Families),Agency staff,"15,000.00",GATENBY SANDERSON LTD
2381,Revenue,Community Wellbeing & Social Care,5105638485,27.11.2013,Community & Wellbeing Directorate,Consultants Fees,"17,940.00",GATENBY SANDERSON LTD
2382,Revenue,Economy & Environment,5105638473,27.11.2013,Castle Haven Coast Protection Scheme,Payment to Private Contractors,115.73,GEOQUIP WATER SOLUTIONS LTD
2383,Revenue,Economy & Environment,5105638474,27.11.2013,Castle Haven Coast Protection Scheme,Payment to Private Contractors,"2,251.38",GEOQUIP WATER SOLUTIONS LTD
2384,Revenue,Economy & Environment,5400001754,29.11.2013,Castle Haven Coast Protection Scheme,Payment to Private Contractors,-1.05,GEOQUIP WATER SOLUTIONS LTD
2385,Revenue,Childrens Services,5105636634,15.11.2013,Children's Services Strategic Management,"Refuse Collection, Disposal and Recycling Costs",234.15,GHS-RECYCLING LTD
2386,Revenue,Economy & Environment,5105636650,15.11.2013,Planning Business Support,"Refuse Collection, Disposal and Recycling Costs",35.00,GHS-RECYCLING LTD
2387,Revenue,Community Wellbeing & Social Care,5105638367,27.11.2013,Wightcare,Stationery,35.00,GHS-RECYCLING LTD
2388,Revenue,Resources,5105636297,13.11.2013,Legal Services Section,Sundry Office Expenses,45.50,GHS-RECYCLING LTD
2389,Revenue,Resources,5105638576,27.11.2013,Administrative Buildings,"Refuse Collection, Disposal and Recycling Costs",528.50,GHS-RECYCLING LTD
2390,Revenue,Resources,5105637367,20.11.2013,Parking Services,Payment to Private Contractors,137.90,GHS-RECYCLING LTD
2391,Revenue,Community Wellbeing & Social Care,5105637913,29.11.2013,Contraception,Payment to Private Contractors,5.00,GIBBS AND GURNELL PHARMACY
2392,Revenue,Community Wellbeing & Social Care,5105637913,29.11.2013,Contraception,Payment to Private Contractors,1.50,GIBBS AND GURNELL PHARMACY
2393,Revenue,Community Wellbeing & Social Care,5105637913,29.11.2013,Contraception,Payment to Private Contractors,5.20,GIBBS AND GURNELL PHARMACY
2394,Revenue,Community Wellbeing & Social Care,5105637913,29.11.2013,Contraception,Payment to Private Contractors,15.00,GIBBS AND GURNELL PHARMACY
2395,Revenue,Community Wellbeing & Social Care,5105638431,27.11.2013,Drug Misuse - Adults,Payment to Private Contractors,112.00,GIBBS AND GURNELL PHARMACY
2396,Revenue,Community Wellbeing & Social Care,5105638432,27.11.2013,Drug Misuse - Adults,Payment to Private Contractors,126.00,GIBBS AND GURNELL PHARMACY
2397,Revenue,Community Wellbeing & Social Care,5105637881,27.11.2013,Drug Misuse - Adults,Payment to Private Contractors,119.00,GIBBS AND GURNELL PHARMACY
2398,Revenue,Community Wellbeing & Social Care,5105637913,29.11.2013,Drug Misuse - Adults,Payment to Private Contractors,182.00,GIBBS AND GURNELL PHARMACY
2399,Revenue,Community Wellbeing & Social Care,5105637913,29.11.2013,Drug Misuse - Adults,Payment to Private Contractors,94.50,GIBBS AND GURNELL PHARMACY
2400,Revenue,Economy & Environment,5105635209,06.11.2013,Deputy Chief Fire Office,Property Services - Day to day maintenance,144.00,GILGEN DOOR SYSTEMS UK LTD
2401,Revenue,Economy & Environment,5105635197,06.11.2013,Deputy Chief Fire Office,Property Services - Day to day maintenance,206.50,GILGEN DOOR SYSTEMS UK LTD
2402,Revenue,Resources,5105635195,06.11.2013,Rechargeable Properties,Property Services - Planned Maintenance,85.00,GILGEN DOOR SYSTEMS UK LTD
2403,Revenue,Economy & Environment,5105636955,15.11.2013,Through the Eye of the Needles,Capital Contractor Payments,"6,500.00",GJ BANKS (IW) LTD
2404,Revenue,Childrens Services,5105638364,27.11.2013,Special Educational Needs Transport,Transport of Clients,"40,358.77",GO SOUTH COAST LTD
2405,Revenue,Childrens Services,5105638230,27.11.2013,Special Educational Needs Transport,Transport of Clients,"40,358.77",GO SOUTH COAST LTD
2406,Revenue,Childrens Services,5105638230,27.11.2013,Special Educational Needs Transport,Transport of Clients,"12,593.00",GO SOUTH COAST LTD
2407,Revenue,Childrens Services,5105638364,27.11.2013,Special Educational Needs Transport,Transport of Clients,"12,593.00",GO SOUTH COAST LTD
2408,Revenue,Economy & Environment,5105637196,20.11.2013,Concessionary Fares- Over 60s,Concessionary Fares,"383,738.20",GO SOUTH COAST LTD
2409,Revenue,Economy & Environment,5105638231,27.11.2013,Subsidised Bus Services,Public Transport Subsidy,"22,500.69",GO SOUTH COAST LTD
2410,Revenue,Economy & Environment,5105638234,27.11.2013,Subsidised Bus Services,Public Transport Subsidy,"10,362.24",GO SOUTH COAST LTD
2411,Revenue,Economy & Environment,5105638232,27.11.2013,Subsidised Bus Services,Public Transport Subsidy,"2,347.68",GO SOUTH COAST LTD
2412,Revenue,Childrens Services,5105639135,29.11.2013,I W College - Home to College Transport,Transport of Clients,"158,256.40",GO SOUTH COAST LTD
2413,Revenue,Childrens Services,5105638358,27.11.2013,Contact & Assessment Team,Transport of Clients,421.60,GO SOUTH COAST LTD
2414,Revenue,Childrens Services,5105637366,20.11.2013,Contact & Assessment Team,Transport of Clients,441.60,GO SOUTH COAST LTD
2415,Revenue,Childrens Services,5105639135,29.11.2013,Clatterford Pupil Referral Unit (PRU),Transport of Clients,"4,491.06",GO SOUTH COAST LTD
2416,Revenue,Resources,5105635147,22.11.2013,Local Welfare Assistance Scheme,Local Welfare Provision payments,6.40,GO SOUTH COAST LTD
2417,Revenue,Childrens Services,5105637921,22.11.2013,Education Participation Team,Transport of Clients,387.20,GO SOUTH COAST LTD
2418,Revenue,Childrens Services,5105637920,22.11.2013,Education Participation Team,Transport of Clients,306.40,GO SOUTH COAST LTD
2419,Revenue,Childrens Services,5105638230,27.11.2013,Home to School Transport,Transport of Clients,"223,525.47",GO SOUTH COAST LTD
2420,Revenue,Childrens Services,5105638364,27.11.2013,Home to School Transport,Transport of Clients,"215,246.75",GO SOUTH COAST LTD
2421,Revenue,Childrens Services,5105639135,29.11.2013,Home to School Transport,Transport of Clients,"59,453.08",GO SOUTH COAST LTD
2422,Revenue,Childrens Services,5105639135,29.11.2013,Thompson House Tuition Centre (PRU),Transport of Clients,"1,069.30",GO SOUTH COAST LTD
2423,Revenue,Childrens Services,5105639063,29.11.2013,Maintenance Grants for Sixth Form Students,Public Transport Fares,215.00,GO SOUTH COAST LTD
2424,Revenue,Childrens Services,5105638360,27.11.2013,Targeted Youth Support,Operational Equipment,65.60,GO SOUTH COAST LTD
2425,Revenue,Childrens Services,5105638359,27.11.2013,Youth Offending Team,Transport of Clients,179.80,GO SOUTH COAST LTD
2426,Revenue,Childrens Services,5105635643,08.11.2013,Youth Offending Team,Transport of Clients,268.70,GO SOUTH COAST LTD
2427,Revenue,Community Wellbeing & Social Care,5105638361,27.11.2013,Drug Misuse - Adults,Payment to Private Contractors,416.00,GO SOUTH COAST LTD
2428,Revenue,Community Wellbeing & Social Care,5105638361,27.11.2013,Drug Misuse - Adults,Payment to Private Contractors,170.00,GO SOUTH COAST LTD
2429,Revenue,Economy & Environment,5105637956,22.11.2013,Fire Technical Support,Vehicle Maintenance Costs,457.78,GODIVA LTD
2430,Revenue,Economy & Environment,5105637956,22.11.2013,Fire Technical Support,Vehicle Maintenance Costs,12.00,GODIVA LTD
2431,Revenue,Resources,5105638610,27.11.2013,Rechargeable Properties,Property Services - Planned Maintenance,286.00,GRAHAM ASSET MANAGEMENT LIMITED
2432,Revenue,Childrens Services,5105639008,29.11.2013,Non-Delegated Building Maintenance,Property Services - Planned Maintenance,208.00,GRAHAM ASSET MANAGEMENT LIMITED
2433,Revenue,Childrens Services,5105639011,29.11.2013,Non-Delegated Building Maintenance,Property Services - Planned Maintenance,208.00,GRAHAM ASSET MANAGEMENT LIMITED
2434,Revenue,Childrens Services,5105639011,29.11.2013,Non-Delegated Building Maintenance,Property Services - Planned Maintenance,208.00,GRAHAM ASSET MANAGEMENT LIMITED
2435,Revenue,Childrens Services,5105639014,29.11.2013,Non-Delegated Building Maintenance,Property Services - Planned Maintenance,286.00,GRAHAM ASSET MANAGEMENT LIMITED
2436,Revenue,Childrens Services,5105639014,29.11.2013,Non-Delegated Building Maintenance,Property Services - Planned Maintenance,286.00,GRAHAM ASSET MANAGEMENT LIMITED
2437,Revenue,Childrens Services,5105638420,27.11.2013,Non-Delegated Building Maintenance,Property Services - Planned Maintenance,286.00,GRAHAM ASSET MANAGEMENT LIMITED
2438,Revenue,Childrens Services,5105638420,27.11.2013,Non-Delegated Building Maintenance,Property Services - Planned Maintenance,286.00,GRAHAM ASSET MANAGEMENT LIMITED
2439,Revenue,Childrens Services,5105638420,27.11.2013,Non-Delegated Building Maintenance,Property Services - Planned Maintenance,286.00,GRAHAM ASSET MANAGEMENT LIMITED
2440,Revenue,Childrens Services,5105638606,27.11.2013,Non-Delegated Building Maintenance,Property Services - Planned Maintenance,286.00,GRAHAM ASSET MANAGEMENT LIMITED
2441,Revenue,Childrens Services,5105638581,27.11.2013,Non-Delegated Building Maintenance,Property Services - Planned Maintenance,208.00,GRAHAM ASSET MANAGEMENT LIMITED
2442,Revenue,Childrens Services,5105638601,27.11.2013,Non-Delegated Building Maintenance,Property Services - Planned Maintenance,208.00,GRAHAM ASSET MANAGEMENT LIMITED
2443,Revenue,Childrens Services,5105638580,27.11.2013,Non-Delegated Building Maintenance,Property Services - Planned Maintenance,208.00,GRAHAM ASSET MANAGEMENT LIMITED
2444,Revenue,Childrens Services,5105638603,27.11.2013,Non-Delegated Building Maintenance,Property Services - Planned Maintenance,208.00,GRAHAM ASSET MANAGEMENT LIMITED
2445,Revenue,Childrens Services,5105638605,27.11.2013,Non-Delegated Building Maintenance,Property Services - Planned Maintenance,286.00,GRAHAM ASSET MANAGEMENT LIMITED
2446,Revenue,Childrens Services,5105638605,27.11.2013,Non-Delegated Building Maintenance,Property Services - Planned Maintenance,286.00,GRAHAM ASSET MANAGEMENT LIMITED
